Name,2025-9,2025-18,2025-22,2025-27,2025-31,2025-35,2025-40,2026-1,2026-2,2026-4,2026-5
Alcantara,0,0,0,0,0,0,0,0,0,0,0
Alcoy,0,0,0,0,0,0,0,0,0,0,0
Alegria,0,0,0,0,0,0,1,0,0,0,0
Aloguinsan,0,0,0,0,0,0,1,0,0,0,0
Argao,0,0,0,0,0,0,0,0,0,0,0
Asturias,0,0,0,0,1,1,1,0,0,0,0
Badian,0,0,0,0,0,0,0,0,0,0,0
Balamban,0,0,0,0,0,0,1,0,0,0,0
Bantayan,0,0,0,0,0,0,2,0,0,0,0
Barili,0,0,0,0,0,0,0,0,0,0,0
Bogo,0,0,0,0,0,0,1,0,0,2,2
Boljoon,0,0,0,0,0,0,0,0,0,0,0
Borbon,0,0,0,0,0,0,0,0,0,1,1
Carcar,0,0,1,1,3,3,3,0,0,0,0
Carmen,0,0,0,0,0,1,1,0,0,0,0
Catmon,0,0,0,0,0,0,0,0,0,0,0
Compostela,1,1,1,1,1,2,3,0,0,0,0
Consolacion,0,0,0,1,5,5,8,0,0,1,1
Cordova,0,0,0,0,0,1,2,0,0,0,0
Daanbantayan,0,0,0,0,0,0,0,0,0,0,0
Dalaguete,0,1,1,1,2,2,2,0,0,0,0
Danao,1,1,1,1,1,6,6,0,1,1,1
Dumanjug,0,0,0,0,0,0,0,0,0,0,0
Ginatilan,0,0,0,0,0,0,0,0,0,0,0
Liloan,0,0,0,0,0,0,1,0,0,0,0
Madridejos,0,0,0,0,0,0,0,0,0,0,0
Malabuyoc,0,0,1,1,1,1,1,0,0,0,0
Medellin,1,2,2,2,2,2,2,0,0,0,1
Minglanilla,0,0,1,1,2,2,3,0,0,0,0
Moalboal,0,0,0,0,0,0,0,1,1,1,1
Naga,0,0,0,1,2,4,4,0,0,0,0
Oslob,0,0,0,0,0,0,0,0,0,0,0
Pilar,0,0,0,0,0,0,0,0,0,0,0
Pinamungajan,0,0,0,0,0,1,2,0,0,0,0
Poro,0,0,0,0,0,0,0,0,0,0,0
Ronda,0,0,0,0,0,0,0,0,0,0,0
Samboan,0,0,0,0,0,0,0,0,0,0,0
San Fernando,0,1,1,1,2,2,2,0,0,0,0
San Francisco,0,0,0,0,0,0,0,0,0,0,0
San Remigio,0,0,0,0,0,1,1,0,0,0,0
Santa Fe,0,0,0,0,0,0,0,0,0,0,1
Santander,0,0,0,0,0,0,0,0,0,0,0
Sibonga,0,0,0,0,1,1,1,0,0,0,0
Sogod,0,0,0,0,0,0,0,0,0,0,0
Tabogon,0,0,0,0,0,0,0,0,0,0,0
Tabuelan,0,0,0,0,0,0,0,0,0,0,0
Talisay,3,7,10,10,13,27,34,0,0,0,0
Toledo,2,2,2,3,4,5,7,0,0,0,0
Tuburan,0,0,0,0,0,0,0,0,0,0,0
Tudela,0,0,0,0,0,0,0,0,0,0,0
