variables,metric,Z
total_waste_produced_per_day,6.398666010469789e-4,9.008818093645068
status_of_first_dumpsite,2.5147064077957193e-4,9.57542876368177
status_of_second_dumpsite,3.194799544391502e-4,10.272857697536695
no_of_mr_fs,4.240953108430867e-4,8.076789822640881
no_of_brgys_served_by_mrf,3.3028966530168624e-4,7.872435059092525
no_of_operational_slf,4.27992060731186e-4,9.011535851522362
no_of_lg_us_served_by_slf,3.0128202708112894e-4,7.46721023128639
total_waste_received_by_slf,4.3880069698221114e-4,10.532618402080667
slf_site_operational,5.497158055343121e-4,9.529361546099972
has_rca,3.7219061318904956e-4,9.2308986235913
has_private_hauler,2.8283080341939826e-4,10.639722765076325
has_special_waste_storage,3.996348234945879e-4,8.508137360608238
has_composting,2.781884132886381e-4,8.923869851947453
level_of_segregation_during_collection,4.3479495989617867e-4,8.76096199931382
biodegradable_waste_produced_per_day,4.1049970854156737e-4,8.760021580557787
recyclable_waste_produced_per_day,5.005213260852459e-4,10.588810892657005
residual_waste_produced_per_day,5.152500803512483e-4,10.120965906287488
special_waste_produced_per_day,4.89764063884679e-4,8.18610689230121
is_a_city,2.922000237579603e-4,9.76274418551131
no_of_brgys,3.35990597991942e-4,10.632403573333738
population,3.0228151717826e-4,9.117285773619965
has_swmp_approved,2.9628187476127277e-4,9.7027354292322
year,3.071754905540347e-4,8.360385492466133
week,0.08127606858510394,16.68827766508325
