variables,metric,Z
total_waste_produced_per_day,0.01159111624326914,2.2046911184857567
status_of_first_dumpsite,0.019038796425205562,1.9442416896343284
status_of_second_dumpsite,0.023165519278377844,1.992893241387402
no_of_mr_fs,0.010799403897365223,2.746892492576007
no_of_brgys_served_by_mrf,0.014891581483107097,2.183538074356947
no_of_operational_slf,0.010297627107130891,2.6231800943203756
no_of_lg_us_served_by_slf,0.014952278927187534,2.200016621101176
total_waste_received_by_slf,0.010945413085462152,2.417076493751641
slf_site_operational,0.010404782494740195,2.281344336309482
has_rca,0.010956247911946937,2.7854760427246648
has_private_hauler,0.012144744487354031,2.6876678460516916
has_special_waste_storage,0.009722901616916801,2.477308986217624
has_composting,0.012587532231534304,2.207612758997593
level_of_segregation_during_collection,0.010413226246536622,2.659835913142122
biodegradable_waste_produced_per_day,0.011192630632621325,2.85763471937505
recyclable_waste_produced_per_day,0.009827921697822761,2.5122776249789367
residual_waste_produced_per_day,0.009396369700358065,2.389382755116056
special_waste_produced_per_day,0.019444992748635648,2.1633566108481075
is_a_city,0.014848138283341528,2.1761764321526313
no_of_brgys,0.011306400899111058,2.8686737018489286
population,0.012400690755526855,2.109319840447665
has_swmp_approved,0.007643462642899057,4.132881484011792
year,0.013311630109448025,2.446021217784236
week,0.040223938733468634,2.3331195142325796
