variables,metric,Z
total_waste_produced_per_day,9.953309348371686e-4,4.091511271424355
status_of_first_dumpsite,7.058062317758518e-4,3.784102089332945
status_of_second_dumpsite,6.734821313022499e-4,4.35361865775771
no_of_mr_fs,7.538410531775508e-4,3.956018311235753
no_of_brgys_served_by_mrf,9.135323075829538e-4,3.8178133422809397
no_of_operational_slf,0.0011105751813850206,2.6452652070083587
no_of_lg_us_served_by_slf,5.041282010089798e-4,4.179406542528881
total_waste_received_by_slf,7.710017817782466e-4,3.367911578118508
slf_site_operational,8.052780379755875e-4,3.1346937829770027
has_rca,4.2766929045223723e-4,4.989993711279235
has_private_hauler,7.2904215060976e-4,4.033276572829376
has_special_waste_storage,4.6405161904716774e-4,3.8987688044557682
has_composting,6.384548737577989e-4,3.491120762479305
level_of_segregation_during_collection,5.914626476495322e-4,4.803500727779315
biodegradable_waste_produced_per_day,7.748371043095892e-4,3.3974873312610443
recyclable_waste_produced_per_day,5.918881602556825e-4,3.6996854143810554
residual_waste_produced_per_day,9.097866076835937e-4,5.018233467195727
special_waste_produced_per_day,6.6344180785749e-4,4.9033208578566425
is_a_city,4.437400708130479e-4,4.425334300947566
no_of_brgys,5.976483366710861e-4,4.9760644920581605
population,3.80850609703165e-4,3.9586576358190606
has_swmp_approved,4.282550546795827e-4,4.336554879730333
year,0.006492249045068399,3.7197138615656122
week,0.006034948323067613,3.0633066037323893
