Name of Place,Dengue ,Gastroenteritis,Bronchial Asthma,Dermatitis,Chronic Obstructive Pulmonary Disease,Leptospirosis ,Pulmonary Hypertension,Helminth Infection,Malnutrition,Lead Poisoning,Cryptosporidosis,Other Heavy Metal Poisoning,Malaria
Alcantara,51,9,5,1,0,0,0,0,0,0,0,0,0
Alcoy,66,0,0,17,0,0,0,0,0,0,0,0,0
Alegria,37,9,0,0,0,0,0,0,0,0,0,0,0
Aloguinsan,68,17,2,0,0,0,0,0,0,0,0,0,0
Argao,242,0,0,0,1,0,0,0,0,0,0,0,0
Asturias,41,0,1,1,0,0,0,0,0,0,0,0,0
Badian,116,80,22,0,9,0,0,0,0,0,0,0,0
Balamban,158,5,6,0,0,2,0,14,0,0,0,0,0
Bantayan,81,30,14,0,0,1,3,0,0,0,0,0,0
Barili,359,8,2,0,1,0,0,0,0,0,0,0,0
Bogo,34,20,26,76,0,0,0,0,0,0,0,0,0
Boljoon,15,40,2,0,0,0,0,0,0,0,0,0,0
Borbon,76,14,34,0,7,0,6,1,0,0,0,0,0
Carcar,263,81,10,0,0,1,0,0,0,0,0,0,0
Carmen,140,4,38,34,0,0,0,0,0,0,0,0,0
Catmon,48,38,15,6,12,0,0,0,0,0,0,0,0
Compostela,188,0,6,0,0,0,0,0,0,0,0,0,0
Consolacion,453,22,52,0,73,0,0,0,0,0,0,0,0
Cordova,184,0,0,21,0,0,0,0,0,0,0,0,0
Daanbantayan,168,1,7,125,0,0,0,0,0,0,0,0,0
Dalaguete,206,18,12,0,8,0,0,0,0,0,0,0,0
Danao,682,0,33,1,1,1,0,0,0,0,0,0,0
Dumanjug,146,0,0,0,0,0,0,0,0,0,0,0,0
Ginatilan,20,66,14,0,1,0,0,0,0,0,0,0,0
Liloan,454,83,33,0,2,0,1,0,0,0,0,0,0
Madridejos,67,26,10,0,8,0,0,0,0,0,0,0,0
Malabuyoc,62,56,65,0,3,0,0,0,0,0,0,0,0
Medellin,35,78,40,60,18,0,2,0,0,0,0,0,0
Minglanilla,423,34,179,2,22,2,2,1,0,0,0,0,0
Moalboal,94,8,3,13,0,0,2,0,0,0,0,0,0
Naga,357,68,35,32,2,0,0,0,0,0,0,0,0
Oslob,32,16,7,0,2,0,0,0,0,0,0,0,0
Pilar,91,11,1,0,1,0,0,0,0,0,0,0,0
Pinamungajan,81,106,52,29,6,0,0,0,0,0,0,0,0
Poro,17,5,2,121,0,0,0,0,0,0,0,0,0
Ronda,105,0,0,2,0,0,0,0,0,0,0,0,0
Samboan,7,4,8,4,2,0,0,0,3,0,0,0,0
San Fernando,239,11,6,0,0,0,0,0,0,0,0,0,0
San Francisco,42,7,9,12,8,0,7,0,0,0,0,0,0
San Remigio,28,40,87,0,7,0,0,0,0,0,0,0,0
Santa Fe,45,5,4,0,0,0,11,0,0,0,0,0,0
Santander,8,10,0,34,2,0,0,0,0,0,0,0,0
Sibonga,82,1,20,0,0,0,0,0,0,0,0,0,0
Sogod,67,31,30,0,1,0,0,0,0,0,0,0,0
Tabogon,10,16,3,0,0,0,0,0,0,0,0,0,0
Tabuelan,8,0,0,0,0,0,0,0,0,0,0,0,0
Talisay,943,0,0,2,0,27,0,0,0,0,0,0,0
Toledo,256,17,70,73,0,0,0,0,6,0,0,0,0
Tuburan,38,32,40,10,10,0,7,5,0,0,0,0,0
Tudela,7,0,0,57,0,0,0,0,0,0,0,0,0
