Name of Place,Total Waste,MRF,Composting,Collection Segregation,RCA,Private Hauler,Dumpsite,SLF,Special Waste Storage,Biodegradable,Recyclable,Residual,Special
Alcantara,"4,874.14",TRUE,TRUE,SOME AREAS,TRUE,FALSE,TRUE,FALSE,TRUE,"1,959.05",961.12,"1,861.18",92.79
Alcoy,"1,939.71",TRUE,TRUE,ALL AREAS,TRUE,TRUE,FALSE,FALSE,TRUE,818.50,390.31,669.30,61.60
Alegria,"7,257.90",TRUE,TRUE,ALL AREAS,FALSE,FALSE,TRUE,FALSE,FALSE,"3,193.48","1,669.32","2,322.53",72.58
Aloguinsan,"10,258.97",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"4,513.95","2,359.56","3,282.87",102.59
Argao,"19,648.01",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"9,002.29","2,565.18","7,948.77",131.78
Asturias,"9,277.81",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"5,048.62",315.05,"3,914.15",0.00
Badian,"13,137.77",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"5,780.61","3,021.69","4,204.09",131.38
Balamban,"11,473.92",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"5,206.86","2,314.29","3,712.96",239.81
Bantayan,"34,727.53",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"24,145.78","6,051.91","3,727.87",801.98
Barili,"8,391.25",TRUE,TRUE,SOME AREAS,TRUE,FALSE,FALSE,FALSE,FALSE,"6,144.19",661.45,"1,369.91",215.70
Bogo,"18,239.20",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"8,025.25","4,195.02","5,836.54",182.39
Boljoon,"2,707.99",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"1,191.51",622.84,866.55,27.08
Borbon,"11,256.28",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,FALSE,"4,952.77","2,588.95","3,602.01",112.56
Carcar,"32,034.49",TRUE,TRUE,NONE,FALSE,TRUE,FALSE,FALSE,TRUE,"12,761.52","7,831.27","10,957.53",484.17
Carmen,"19,077.60",TRUE,FALSE,NONE,FALSE,FALSE,TRUE,FALSE,FALSE,"8,394.14","4,387.85","6,104.83",190.77
Catmon,"6,214.65",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"2,969.37","2,383.94",581.69,279.66
Compostela,"12,346.50",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"9,116.93","1,330.90","1,798.49",100.18
Consolacion,"78,791.72",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"22,598.37","23,328.02","32,306.15",559.17
Cordova,"17,507.26",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"6,978.11","3,751.90","6,756.26",20.98
Daanbantayan,"27,563.48",TRUE,TRUE,ALL AREAS,FALSE,FALSE,TRUE,FALSE,TRUE,"15,022.09","7,224.39","4,801.56",515.43
Dalaguete,"30,084.95",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"16,904.48","7,644.70","4,294.15","1,241.62"
Danao,"40,531.16",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,FALSE,"19,715.21","8,287.37","11,401.57",127.02
Dumanjug,"18,787.09",TRUE,TRUE,NONE,FALSE,FALSE,TRUE,FALSE,FALSE,"8,266.32","4,321.03","6,011.87",187.87
Ginatilan,"5,290.37",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"2,327.76","1,216.79","1,692.92",52.90
Liloan,"41,492.22",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"18,256.57","9,543.21","13,277.51",414.93
Madridejos,"10,096.70",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"4,442.55","2,322.24","3,230.94",100.97
Malabuyoc,"6,459.87",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"2,842.35","1,485.77","2,067.16",64.60
Medellin,"34,675.14",TRUE,FALSE,NONE,FALSE,FALSE,TRUE,FALSE,FALSE,"16,054.58","10,173.69","7,989.16",457.72
Minglanilla,"46,013.98",TRUE,TRUE,NONE,FALSE,TRUE,FALSE,FALSE,TRUE,"20,246.15","10,583.21","14,724.47",460.14
Moalboal,"9,863.42",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"2,749.54","3,674.50","3,393.55",45.83
Naga,"48,139.58",TRUE,TRUE,ALL AREAS,FALSE,TRUE,FALSE,FALSE,TRUE,"23,903.61","11,178.78","12,264.43",792.76
Oslob,"8,715.35",TRUE,FALSE,NONE,FALSE,FALSE,FALSE,FALSE,FALSE,"3,834.88","2,004.59","2,789.00",86.88
Pilar,"3,742.79",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"1,646.83",860.84,"1,197.69",37.42
Pinamungajan,"19,801.00",TRUE,TRUE,ALL AREAS,FALSE,FALSE,FALSE,TRUE,TRUE,"8,712.44","4,554.23","6,336.32",198.01
Poro,"4,187.86",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"2,443.24",496.53,"1,219.85",28.23
Ronda,"2,524.91",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"1,110.96",580.73,807.97,25.25
Samboan,"4,696.11",TRUE,TRUE,ALL AREAS,TRUE,TRUE,FALSE,FALSE,TRUE,"2,194.53","1,323.79","1,167.80",10.49
San Fernando,"21,689.28",TRUE,FALSE,ALL AREAS,TRUE,FALSE,TRUE,FALSE,TRUE,"11,277.07","3,791.42","6,427.99",192.79
San Francisco,"20,527.38",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"3,650.80","5,707.92","10,576.26",592.41
San Remigio,"8,307.15",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,TRUE,TRUE,"5,244.19",677.21,"2,277.39",108.36
Santa Fe,"5,793.88",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"2,491.37","2,665.18",579.39,57.94
Santander,"5,508.14",TRUE,TRUE,NONE,FALSE,FALSE,TRUE,FALSE,FALSE,"2,423.58","1,266.87","1,762.61",55.08
Sibonga,"10,208.23",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"4,090.31","2,064.78","3,963.39",89.75
Sogod,"11,181.33",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"7,228.49",554.05,"3,322.33",76.46
Tabogon,"15,914.36",TRUE,TRUE,ALL AREAS,FALSE,FALSE,TRUE,FALSE,FALSE,"8,727.37",355.16,"6,523.94",307.88
Tabuelan,"4,044.86",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"3,308.82",136.90,599.05,0.09
Talisay,"98,897.61",TRUE,FALSE,NONE,FALSE,FALSE,FALSE,TRUE,FALSE,"43,514.95","22,746.45","31,647.23",988.98
Toledo,"73,107.65",FALSE,FALSE,NONE,FALSE,FALSE,FALSE,TRUE,FALSE,"32,167.37","16,814.76","23,394.44",731.08
Tuburan,"16,316.21",TRUE,TRUE,NONE,FALSE,FALSE,TRUE,FALSE,FALSE,"8,158.11","5,710.67","1,957.95",489.49
Tudela,"2,226.21",TRUE,TRUE,ALL AREAS,TRUE,FALSE,FALSE,FALSE,TRUE,"1,094.34",247.09,777.31,107.47
